TeslaModel,HomeChargerAvailable,Segment,ChargingFrequency,LocationPreference,PriceSensitivity,SpeedPreference,ChosenStationPrice,ChosenStationSpeed,ChosenStationLocation,ConjointPrice,ConjointSpeed,ConjointPerks,PlanType,UsageLimit,AdSpend,StationUsage,Revenue,CampaignType,FirstTimeUser,DiscountApplied,UserLocation
Model Y,Yes,Urban Commuter,2,Home,Low,Moderate,0.37,Fast,Destination,0.45,Fast,Nearby Amenities,Monthly Subscription,50 kWh/month,4122.57,20,74,None,No,No,Urban
Model 3,Yes,Long-Distance Traveler,1,Home,Low,Fast,0.32,Fast,Destination,0.35,Fast,App Navigation Integration,Unlimited Fast-Charging,Unlimited,587.85,20,64,Discount,No,No,Urban
Model 3,Yes,Urban Commuter,1,Home,Medium,Fast,0.32,Fast,Urban,0.45,Fast,App Navigation Integration,Monthly Subscription,Up to 200 kWh,4238.1,22,70.4,None,No,No,Rural
Model 3,No,Urban Commuter,1,Supercharger - Urban,Low,Moderate,0.36,Fast,Destination,0.25,Fast,None,Pay-Per-Use,Up to 200 kWh,1148.47,24,86.4,None,Yes,Yes,Urban
Model S,No,Urban Commuter,6,Home,High,Fast,0.5,Fast,Highway,0.35,Fast,Nearby Amenities,Unlimited Fast-Charging,Unlimited,4886.05,17,85,Discount,Yes,Yes,Highway Region
Model Y,Yes,Urban Commuter,1,Supercharger - Highway,High,Moderate,0.31,Fast,Urban,0.35,Fast,None,Monthly Subscription,Up to 200 kWh,3217.43,15,46.5,Discount,No,No,Rural
Model Y,Yes,Long-Distance Traveler,2,Home,Low,Moderate,0.28,Fast,Urban,0.25,Fast,Nearby Amenities,Monthly Subscription,Up to 200 kWh,3807.42,19,53.2,None,Yes,Yes,Rural
Model Y,Yes,Urban Commuter,2,Supercharger - Highway,Medium,Moderate,0.4,Fast,Highway,0.45,Fast,App Navigation Integration,Monthly Subscription,50 kWh/month,997.18,17,68,Discount,No,No,Highway Region
Model Y,Yes,Long-Distance Traveler,2,Home,Medium,Moderate,0.37,Fast,Urban,0.45,Fast,None,Monthly Subscription,Up to 200 kWh,4379.47,22,81.4,None,Yes,Yes,Urban
Model 3,Yes,Long-Distance Traveler,1,Supercharger - Highway,Low,Moderate,0.38,Fast,Urban,0.45,Fast,App Navigation Integration,Monthly Subscription,Up to 200 kWh,4276.37,11,41.8,Loyalty Program,No,No,Urban
Model Y,Yes,Urban Commuter,2,Supercharger - Highway,Medium,Fast,0.42,Fast,Highway,0.25,Fast,Nearby Amenities,Pay-Per-Use,Unlimited,3438.47,22,92.4,None,Yes,No,Suburban
Model Y,No,Long-Distance Traveler,3,Home,Medium,Fast,0.32,Fast,Urban,0.35,Fast,Lounge Access,Pay-Per-Use,50 kWh/month,2760.24,19,60.8,Referral,No,No,Urban
Model Y,Yes,Long-Distance Traveler,3,Home,Medium,Fast,0.48,Fast,Urban,0.25,Fast,None,Pay-Per-Use,Up to 200 kWh,3746.7,16,76.8,Discount,No,No,Suburban
Model 3,Yes,Urban Commuter,3,Supercharger - Highway,High,Moderate,0.36,Fast,Highway,0.45,Fast,None,Monthly Subscription,Unlimited,526.68,21,75.6,Loyalty Program,Yes,Yes,Rural
Model 3,Yes,Long-Distance Traveler,2,Destination Charger,High,Fast,0.28,Fast,Destination,0.25,Fast,App Navigation Integration,Unlimited Fast-Charging,Unlimited,3165.98,33,92.4,Discount,No,No,Rural
Model S,Yes,Long-Distance Traveler,3,Supercharger - Urban,Low,Fast,0.44,Fast,Highway,0.35,Fast,App Navigation Integration,Pay-Per-Use,Unlimited,4313.33,21,92.4,Discount,No,No,Rural
Model Y,No,Long-Distance Traveler,7,Destination Charger,High,Fast,0.41,Fast,Urban,0.25,Fast,Lounge Access,Pay-Per-Use,Unlimited,2106.05,20,82,Discount,Yes,Yes,Suburban
Model X,No,Long-Distance Traveler,5,Destination Charger,Medium,Fast,0.33,Fast,Highway,0.45,Fast,None,Monthly Subscription,Unlimited,987.3,16,52.8,Referral,No,No,Highway Region
Model 3,No,Urban Commuter,3,Home,High,Fast,0.41,Fast,Urban,0.35,Fast,Nearby Amenities,Unlimited Fast-Charging,Unlimited,2393.95,18,73.8,Referral,No,No,Highway Region
Model X,Yes,Long-Distance Traveler,1,Supercharger - Urban,Low,Moderate,0.3,Fast,Urban,0.25,Fast,Nearby Amenities,Pay-Per-Use,Up to 200 kWh,3771.97,17,51,None,Yes,No,Rural
Model X,Yes,Long-Distance Traveler,1,Destination Charger,High,Moderate,0.36,Fast,Highway,0.25,Fast,None,Pay-Per-Use,50 kWh/month,982.86,15,54,Referral,Yes,Yes,Suburban
Model 3,Yes,Long-Distance Traveler,2,Home,Medium,Fast,0.47,Fast,Urban,0.35,Fast,None,Unlimited Fast-Charging,50 kWh/month,1427.22,29,136.3,Discount,No,No,Suburban
Model S,Yes,Long-Distance Traveler,1,Destination Charger,Medium,Moderate,0.28,Fast,Destination,0.35,Fast,None,Monthly Subscription,Unlimited,1163.98,15,42,Loyalty Program,No,No,Rural
Model X,Yes,Urban Commuter,3,Destination Charger,Low,Moderate,0.35,Fast,Urban,0.45,Fast,Lounge Access,Unlimited Fast-Charging,Unlimited,4086.26,25,87.5,Loyalty Program,No,No,Urban
Model 3,No,Long-Distance Traveler,3,Home,High,Fast,0.46,Fast,Highway,0.35,Fast,Nearby Amenities,Monthly Subscription,50 kWh/month,783.02,19,87.4,Loyalty Program,Yes,Yes,Rural
Model Y,Yes,Urban Commuter,1,Home,High,Fast,0.49,Fast,Destination,0.45,Fast,Nearby Amenities,Pay-Per-Use,Up to 200 kWh,3589.64,18,88.2,Discount,No,No,Suburban
